x,y,strength_percentage,strength,dexterity,constitution,intelligence,wisdom,charisma,score,hitpoints,max_hitpoints,depth,gold,energy,max_energy,armor_class,monster_level,experience_level,experience_points,time,hunger_state,carrying_capacity,dungeon_number,level_number,rewards
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,21.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,25.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,25.0,1.0,0.0,0.0,1.0,-0.01
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,1.0,-0.01
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,1.0,-0.01
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,27.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,29.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,29.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,31.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,32.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,32.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,32.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,33.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,34.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,37.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,37.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,38.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,38.0,1.0,0.0,0.0,1.0,-0.01
64.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,39.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,40.0,1.0,0.0,0.0,1.0,0.0
64.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,41.0,1.0,0.0,0.0,1.0,0.0
64.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,41.0,1.0,0.0,0.0,1.0,-0.01
64.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,41.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,44.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,45.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,45.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,46.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,47.0,1.0,0.0,0.0,1.0,-0.01
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,1.0,0.0
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,1.0,-0.01
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,49.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,49.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,1.0,-0.01
64.0,11.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,1.0,-0.01
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,51.0,1.0,0.0,0.0,1.0,0.0
64.0,12.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,51.0,1.0,0.0,0.0,1.0,-0.01
